Data badania,Grupa badawcza,Wykorzystanie komputera w celach służbowych,Wykorzystanie komputera do rozrywki,Korzystanie z Internetu do pracy lub nauki,Przeglądam zasoby Internetu w celach prywatnych,Przeglądam Internet w celach prywatnych,Przeglądam Internetu w celach służbowych,Prowadzę konwersację za pomoca chat,Korzystam z e-mail w celach prywatnych,Korzystam z e-mail w celach służbowych,Pracuję poprzez Internet,Korzystam ze specjalistycznego oprogramowania firmowego,Korzystam z oprogramowania biurowego,Oglądam  filmy,Gram w komputerowe gry,Inne,Spędzam w Internecie więcej czasu niż zaplanowałem,Czuje niepokój gdy nie mam dostępu do Internetu,Aby być zadowolony z korzystania z Internetu potrzebuje coraz większej ilości czasu,Podejmowałem próby ograniczenia czasu spędzanego na korzystaniu z Internetu,Korzystam z komputera w celu ucieczki od problemów życia codziennego,Korzystam z Internetu w celu ucieczki od problemów życia codziennego,Zdarzyło mi się zaniedbywać obowiązki domowe/służbowe na rzecz czasu poświęconego na korzystanie z komputera,Zdarzyło  mi się zaniedbywać obowiązki domowe/służbowe na rzecz czasu poświęconego na korzystanie z Internetu,Komputer zabiera czas,Internet zabiera czas,Korzystanie z telefonu komórkowego zabiera czas,Posiadam konto e-mail,Odczuwa niepokój gdy nie mogę  sprawdzić swojejego e-mail,Odczuwam potrzebę natychmiastowej odpowiedzi na otrzymanego e-mail,Korzystanie z e-maila ogranicza wolność,Korzystam z telefonu komórkowego,Czuje niepokój jeśli wychodząc  nie zabierze telefonu,Czuje się zaniepokojony jeśli nie mogę odebrać dzwoniącego telefonu lub SMS-a,Korzystanie z telefonu komórkowego ogranicza wolność,Korzystam z telefonu w celu ucieczki od problemów życia codziennego,Zdarzyło mi się zaniedbać obowiązki domowe/służbowe na rzecz czasu poświęconego na korzystanie z telefonu,Podejmowałem próby zawarcia nowych znajomości poprzez Internet,Zdarzyło mi się  poznać w Internecie inną osobę niż ta za którą się podawała,Łatwość zawierania  znajomości poprzez Internet jest zagrożeniem dla stałych związków,Znajomość zawarta poprzez Internet była przyczyną rozpadu,Wybierałem rozmowę poprzez Internet zamiast osobistego kontaktu,Dostałem niemoralne propozycje poprzez Internet,Spotkałem w Internecie osobę która mogła cierpieć na dewiację na tle seksualnym,Zaważyłem że łatwy dostęp do pornografi może zagrażać prawidłowemu rozwojowi młodych ludzi,Częste korzystanie partnera/partnerów ze stron o treściach pornograficznych może zagrażać trwałości stałego związku,Zetknąłem się w swoim otoczeniu z przypadkami uzależnienia od pornografii,Gram w komputerowe gry P37,Po zakończeniu gry czuje u siebie wzrost agresji,Grałem kosztem czasu przeznaczonego na pracę/naukę,Odczuwam dolegliwości kręgosłupa związane z urzywaniem komputera,Pogorszył się mój wzrok odkąd zacząłem korzystać z komputera,Zaniedbuje aktywność fizyczną na rzecz czasu spędzonego przy komputerze,Zauważyłem u siebie/znajomych skłonność do używania w mowie potocznej zwrotów stosowanych w internetowych rozmowach/SMS,Komputeryzacja przyczyniła się do uproszczenia języka używanego w mowie i w piśmie,Przenikanie internetowego/SMS-owego słownictwa do mowy potocznej jest zjawiskiem negatywnym,Obawia się że zostaną umieszczone w Internecie treści bez zgody na temat mnie/znajomych,Zetknąłem się z umieszczeniem nieakceptowanych treści na temat mnie/znajomych ,Współczesny człowiek utracił anonimowość poprzez pojawienie się Internecie,Obawiam się kradzieży przez hakerów danych ze swojego komputera,Byłem ofiarą/Znam ofiarę kradzieży danych przez hakerów,Operacje bankowe wykonywane drogą internetową sa bezpieczne,Byłem ofiarą/Znam ofiare internetowej przestępczości bankowej,Pojawienie się komputerów miało wpływ na wzrost bezrobocia,Ataki komputerowych hakerów,Zagrożenia związane z internetową przestępczością bankową,Możliwość umieszczenia niechcianych treści w Internecie na swój temat lub temat osób najbliższych,Działalność w Internecie osób z różnymi dewiacjami,Łatwy dostęp dzieci i młodzieży do materiałów o treści pornograficznej,Uzależnienie od komputera i Internetu,Uzależnienie od korzystania z poczty e-mail i SMS-ów,Uzależnienie od gier komputerowych,Przenikanie przez Internet niechcianych treści,Oszustwa internetowe,Choroby cywilizacyjne,Smog elektromagnetyczny,Płeć,Wiek,Miejsce_zamieszkania,Pochodzenie_społeczne,Stan cywilny,Miesięczny dochód ,Student  Informatyki,Pracownik firmy informatycznej,Inne_zajecie,Dyrektor firmy informatycznej,Kierownik zespołu,Specjalista,Pracownik szeregowy,Inne_st,Staż pracy
19.11.2009,UR_I_rok_inżynierskie_dz,Do 1 godziny,Powyżej 6 godzin,Do 1 godziny,Powyżej 6 godzin,Tak,Nie,Tak,Tak,Tak,Nie,Nie,Tak,Tak,Tak,Nie,Tak,Trudno powiedzieć,Tak,Tak,Nie,Nie,Tak,Tak,Tak,Tak,Nie,Tak,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Trudno powiedzieć,Nie,Nie,Trudno powiedzieć,Tak,Nie,Tak,Trudno powiedzieć,Nie,Tak,Trudno powiedzieć,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Tak,Nie,Tak,Nie,Tak,Trudno powiedzieć,Trudno powiedzieć,Nie,Nie,Nie,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Mężczyzna,Poniżej 19 lat,Miasto,Inteligenckie,Panna/Kawaler,Od 501 do 1000 zł,Tak,Nie,praca,Nie,Nie,Nie,Nie,pracownik dorywczy,Od 2 do 5 lat
19.11.2009,UR_I_rok_inżynierskie_dz,Do 1 godziny,Od 2 do 3 godzin,Do 1 godziny,Do 1 godziny,Tak,Tak,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Nie,Tak,Trudno powiedzieć,Nie,Tak,Tak,Trudno powiedzieć,Tak,Trudno powiedzieć,Tak,Tak,Trudno powiedzieć,Tak,Nie,Nie,Nie,Tak,Trudno powiedzieć,Tak,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Tak,Nie,Tak,Nie,Nie,Nie,Tak,Trudno powiedzieć,Trudno powiedzieć,Nie,Nie,Nie,Nie,Tak,Tak,Nie,Nie,Tak,Tak,Nie,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Mężczyzna,Od 20 lat do 25 lat,Wieś,brak,Panna/Kawaler,Od 501 do 1000 zł,Tak,Tak,brak,Nie,Nie,Tak,Nie,brak,Do 1 roku
19.11.2009,UR_I_rok_inżynierskie_dz,Do 1 godziny,Od 4 do 5 godzin,Do 1 godziny,Od 2 do 3 godzin,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Nie,Tak,Tak,Nie,Nie,Nie,Nie,Tak,Tak,Trudno powiedzieć,Tak,Nie,Tak,Nie,Nie,Nie,Tak,Tak,Nie,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Tak,Nie,Tak,Nie,Nie,Nie,Tak,Trudno powiedzieć,Nie,Nie,Tak,Nie,Nie,Tak,Tak,Nie,Nie,Tak,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Nie,Tak,Nie,Nie,Mężczyzna,Poniżej 19 lat,Wieś,brak,Panna/Kawaler,Od 501 do 1000 zł,Tak,Nie,brak,Nie,Nie,Nie,Nie,brak,0 lat
19.11.2009,UR_I_rok_inżynierskie_dz,Do 1 godziny,Powyżej 6 godzin,Do 1 godziny,Powyżej 6 godzin,Tak,Nie,Tak,Tak,Nie,Nie,Nie,Nie,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Nie,Nie,Nie,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Nie,Nie,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Nie,Tak,Tak,Nie,Nie,Tak,Nie,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Tak,Nie,Tak,Nie,Nie,Nie,Nie,Mężczyzna,Poniżej 19 lat,Miasto,Chłopskie,Panna/Kawaler,Poniżej 500 zł,Tak,Nie,brak,Nie,Nie,Nie,Nie,brak,0 lat
19.11.2009,UR_I_rok_inżynierskie_dz,Od 2 do 3 godzin,Od 2 do 3 godzin,Od 2 do 3 godzin,Od 2 do 3 godzin,Tak,Tak,Tak,Nie,Nie,Nie,Nie,Tak,Tak,Tak,Nie,Tak,Nie,Nie,Tak,Trudno powiedzieć,Trudno powiedzieć,Tak,Nie,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Tak,Tak,Tak,Nie,Nie,Nie,Tak,Tak,Nie,Nie,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Tak,Tak,Nie,Nie,Nie,Tak,Tak,Tak,Tak,Nie,Trudno powiedzieć,Tak,Tak,Trudno powiedzieć,Tak,Trudno powiedzieć,Nie,Tak,Nie,Tak,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Mężczyzna,Od 20 lat do 25 lat,brak,Robotnicze,Panna/Kawaler,Od 501 do 1000 zł,Tak,Nie,brak,Nie,Nie,Nie,Nie,brak,0 lat
19.11.2009,UR_I_rok_inżynierskie_dz,Od 2 do 3 godzin,Od 2 do 3 godzin,Od 2 do 3 godzin,Od 2 do 3 godzin,Tak,Nie,Nie,Tak,Tak,Nie,Nie,Nie,Tak,Nie,Nie,Tak,Tak,Nie,Nie,Nie,Nie,Tak,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Tak,Tak,Tak,Nie,Nie,Tak,Nie,Tak,Tak,Nie,Nie,Tak,Tak,Tak,Nie,Nie,Tak,Nie,Nie,Tak,Nie,Trudno powiedzieć,Nie,Nie,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Tak,Tak,Kobieta,Od 20 lat do 25 lat,Miasto,Inteligenckie,Panna/Kawaler,Od 501 do 1000 zł,Tak,Nie,brak,Nie,Nie,Nie,Nie,brak,0 lat
19.11.2009,UR_I_rok_inżynierskie_dz,Od 2 do 3 godzin,Od 2 do 3 godzin,Od 2 do 3 godzin,Od 2 do 3 godzin,Tak,Tak,Tak,Tak,Tak,Nie,Nie,Tak,Tak,Tak,Nie,Trudno powiedzieć,Nie,Trudno powiedzieć,Nie,Nie,Nie,Tak,Tak,Trudno powiedzieć,Trudno powiedzieć,Trudno powiedzieć,Tak,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Trudno powiedzieć,Nie,Nie,Nie,Nie,Trudno powiedzieć,Tak,Nie,Tak,Nie,Trudno powiedzieć,Trudno powiedzieć,Tak,Trudno powiedzieć,Tak,Tak,Trudno powiedzieć,Tak,Tak,Trudno powiedzieć,Tak,Tak,Trudno powiedzieć,Nie,Trudno powiedzieć,Tak,Tak,Nie,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Mężczyzna,Poniżej 19 lat,Miasto,Inteligenckie,Panna/Kawaler,Od 501 do 1000 zł,Tak,Nie,brak,Nie,Nie,Nie,Nie,brak,0 lat
19.11.2009,UR_I_rok_inżynierskie_dz,Do 1 godziny,Od 2 do 3 godzin,Do 1 godziny,Od 2 do 3 godzin,Tak,Tak,Tak,Tak,Nie,Nie,Nie,Nie,Nie,Tak,Nie,Tak,Nie,Nie,Nie,Tak,Tak,Tak,Nie,Tak,Tak,Tak,Tak,Nie,Nie,Nie,Tak,Tak,Nie,Nie,Nie,Nie,Tak,Trudno powiedzieć,Nie,Nie,Tak,Nie,Nie,Tak,Tak,Nie,Tak,Nie,Tak,Trudno powiedzieć,Nie,Trudno powiedzieć,Nie,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Tak,Nie,Nie,Nie,Nie,Nie,Tak,Tak,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Mężczyzna,Od 20 lat do 25 lat,Miasto,Inteligenckie,Panna/Kawaler,Poniżej 500 zł,Tak,Nie,brak,Nie,Nie,Nie,Nie,brak,0 lat
19.11.2009,UR_I_rok_inżynierskie_dz,Od 2 do 3 godzin,Od 2 do 3 godzin,Do 1 godziny,Od 2 do 3 godzin,Tak,Tak,Tak,Tak,Tak,Nie,Nie,Tak,Tak,Tak,Nie,Tak,Tak,Trudno powiedzieć,Nie,Nie,Nie,Tak,Tak,Tak,Tak,Nie,Tak,Nie,Nie,Nie,Tak,Nie,Tak,Tak,Nie,Nie,Tak,Nie,Trudno powiedzieć,Nie,Nie,Nie,Trudno powiedzieć,Tak,Nie,Trudno powiedzieć,Tak,Nie,Tak,Nie,Nie,Nie,Tak,Tak,Nie,Nie,Nie,Nie,Tak,Nie,Trudno powiedzieć,Trudno powiedzieć,Nie,Tak,Tak,Tak,Nie,Tak,Tak,Nie,Nie,Nie,Tak,Tak,Tak,Mężczyzna,Od 20 lat do 25 lat,Wieś,Robotnicze,Panna/Kawaler,Poniżej 500 zł,Tak,Nie,brak,Nie,Nie,Nie,Tak,brak,Do 1 roku
19.11.2009,UR_I_rok_inżynierskie_dz,Do 1 godziny,Powyżej 6 godzin,Powyżej 6 godzin,Powyżej 6 godzin,Tak,Nie,Tak,Tak,Nie,Nie,Nie,Nie,Tak,Tak,Nie,Tak,Tak,Tak,Nie,Trudno powiedzieć,Trudno powiedzieć,Tak,Tak,Tak,Tak,Tak,Tak,Nie,Nie,Nie,brak,Tak,Tak,Nie,Nie,Nie,Tak,Nie,Nie,Tak,Nie,Tak,Tak,Nie,Tak,Tak,Tak,Nie,Tak,Nie,Tak,Nie,Trudno powiedzieć,Tak,Tak,Tak,Tak,Tak,Tak,Tak,Nie,Nie,Trudno powiedzieć,Nie,Tak,Nie,Tak,Tak,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Mężczyzna,Od 20 lat do 25 lat,Miasto,Robotnicze,Panna/Kawaler,Od 1001 do 2000 zł,Tak,Nie,brak,Nie,Nie,Nie,Nie,brak,0 lat
